Transaction_ID,Date,Department,Employee_Name,Expense_Type,Amount_USD,Payment_Method
1001,2024-01-15,Marketing,Alice,Ad Spend,1200,Credit Card
1002,2024-01-16,Sales,Bob,Client Meeting,450,Bank Transfer
1003,2024-01-16,IT,Charlie,Software,800,Credit Card
1004,2024-01-17,Finance,David,Audit,1300,Bank Transfer
1005,2024-01-18,HR,Eva,Recruitment,600,Cash
1006,2024-01-20,Marketing,Alice,Campaign,1500,Credit Card
1007,2024-01-22,Sales,Bob,Travel,700,Cash
1008,2024-01-23,IT,Charlie,Hardware,1000,Bank Transfer
1009,2024-01-24,Finance,David,Consulting,1100,Credit Card
1010,2024-01-25,HR,Eva,Training,400,Cash
